------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Fitter Resource Utilization by Entity                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;
+---------------------------------------------------------------------------------+----------------------+----------------------------------+---------------------------------------------------+----------------------------------+----------------------+---------------------+---------------------------+---------------+-------------------+-------+------------+------+--------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+--------------+
; Compilation Hierarchy Node                                                      ; ALMs needed [=A-B+C] ; [A] ALMs used in final placement ; [B] Estimate of ALMs recoverable by dense packing ; [C] Estimate of ALMs unavailable ; ALMs used for memory ; Combinational ALUTs ; Dedicated Logic Registers ; I/O Registers ; Block Memory Bits ; M20Ks ; DSP Blocks ; Pins ; Virtual Pins ; Full Hierarchy Name                                                                                                                                                                                                                                         ; Entity Name     ; Library Name ;
+---------------------------------------------------------------------------------+----------------------+----------------------------------+---------------------------------------------------+----------------------------------+----------------------+---------------------+---------------------------+---------------+-------------------+-------+------------+------+--------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+--------------+
;          |MCM:MCM_i|                                                            ; 247.7 (247.7)        ; 346.7 (346.7)                    ; 99.0 (99.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 72 (72)             ; 662 (662)                 ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:115:DotProduct_i|MCM:MCM_i                                                                                                                                                                       ; MCM             ; work         ;
;          |MOA:MOA_i|                                                            ; 236.0 (236.0)        ; 333.3 (333.3)                    ; 97.4 (97.4)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 667 (667)           ; 18 (18)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:115:DotProduct_i|MOA:MOA_i                                                                                                                                                                       ; MOA             ; work         ;
;       |DotProduct:\DotProduct_loop:116:DotProduct_i|                            ; 1785.8 (0.0)         ; 2522.9 (0.0)                     ; 737.1 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 3077 (0)            ; 2084 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:116:DotProduct_i                                                                                                                                                                                 ; DotProduct      ; work         ;
;          |MCM:MCM_i|                                                            ; 768.8 (768.8)        ; 1068.1 (1068.1)                  ; 299.3 (299.3)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 141 (141)           ; 2066 (2066)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:116:DotProduct_i|MCM:MCM_i                                                                                                                                                                       ; MCM             ; work         ;
;          |MOA:MOA_i|                                                            ; 1017.1 (1017.1)      ; 1454.8 (1454.8)                  ; 437.8 (437.8)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 2936 (2936)         ; 18 (18)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:116:DotProduct_i|MOA:MOA_i                                                                                                                                                                       ; MOA             ; work         ;
;       |DotProduct:\DotProduct_loop:117:DotProduct_i|                            ; 881.1 (0.0)          ; 1235.9 (0.0)                     ; 354.8 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 1377 (0)            ; 1210 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:117:DotProduct_i                                                                                                                                                                                 ; DotProduct      ; work         ;
;          |MCM:MCM_i|                                                            ; 434.6 (434.6)        ; 598.2 (598.2)                    ; 163.7 (163.7)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 85 (85)             ; 1192 (1192)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:117:DotProduct_i|MCM:MCM_i                                                                                                                                                                       ; MCM             ; work         ;
;          |MOA:MOA_i|                                                            ; 446.5 (446.5)        ; 637.7 (637.7)                    ; 191.1 (191.1)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 1292 (1292)         ; 18 (18)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:117:DotProduct_i|MOA:MOA_i                                                                                                                                                                       ; MOA             ; work         ;
;       |DotProduct:\DotProduct_loop:118:DotProduct_i|                            ; 670.2 (0.0)          ; 931.4 (0.0)                      ; 261.2 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 924 (0)             ; 1073 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:118:DotProduct_i                                                                                                                                                                                 ; DotProduct      ; work         ;
;          |MCM:MCM_i|                                                            ; 369.0 (369.0)        ; 504.9 (504.9)                    ; 135.9 (135.9)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 71 (71)             ; 1055 (1055)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:118:DotProduct_i|MCM:MCM_i                                                                                                                                                                       ; MCM             ; work         ;
;          |MOA:MOA_i|                                                            ; 301.2 (301.2)        ; 426.5 (426.5)                    ; 125.3 (125.3)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 853 (853)           ; 18 (18)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:118:DotProduct_i|MOA:MOA_i                                                                                                                                                                       ; MOA             ; work         ;
;       |DotProduct:\DotProduct_loop:119:DotProduct_i|                            ; 879.8 (0.0)          ; 1243.4 (0.0)                     ; 363.7 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 1231 (0)            ; 1343 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:119:DotProduct_i                                                                                                                                                                                 ; DotProduct      ; work         ;
;          |MCM:MCM_i|                                                            ; 459.4 (459.4)        ; 645.9 (645.9)                    ; 186.5 (186.5)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 32 (32)             ; 1325 (1325)               ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:119:DotProduct_i|MCM:MCM_i                                                                                                                                                                       ; MCM             ; work         ;
;          |MOA:MOA_i|                                                            ; 420.3 (420.3)        ; 597.5 (597.5)                    ; 177.2 (177.2)                                     ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 1199 (1199)         ; 18 (18)                   ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:119:DotProduct_i|MOA:MOA_i                                                                                                                                                                       ; MOA             ; work         ;
;       |DotProduct:\DotProduct_loop:11:DotProduct_i|                             ; 1538.1 (0.0)         ; 2177.3 (0.0)                     ; 639.3 (0.0)                                       ; 0.0 (0.0)                        ; 0.0 (0.0)            ; 2476 (0)            ; 1966 (0)                  ; 0 (0)         ; 0                 ; 0          ; 0    ; 0            ; |cnn_process|ConvLayer:conv2_1|DotProduct:\DotProduct_loop:11:DotProduct_i                                                                                                                                                                                  ; DotProduct      ; work         ;
